Métodos de Optimización, 100, 1
4, D, 

Diseño de Compiladores 2, 787, 1
1, D, 

Computación Cuántica 3, 788, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Criptografía y Seguridad, 789, 1
1, D, 

Emprendimiento Tecnológico y Startups, 790, 2
1, D, 
2, D, 

Estructuras de Datos Avanzadas, 791, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Blockchain y Criptomonedas, 792, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Computación Cuántica, 793, 3
1, D, 
2, D, 
3, D, 

Análisis Numérico Computacional, 794, 2
1, D, 
2, D, 

E-commerce y Negocios Digitales, 795, 2
1, D, 
2, D, 

Análisis Numérico Computacional, 796, 4
1, D, 
2, D, 
3, D, 
4, D, 

Marketing Digital Estratégico, 797, 3
1, D, 
2, D, 
3, D, 

Machine Learning Práctico, 798, 1
1, D, 

Orquestación con Kubernetes, 799, 2
1, D, 
2, D, 

Internet de las Cosas con Arduino 5, 800, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Geometría Analítica del Espacio, 801, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Python para Data Science 5, 802, 3
1, D, 
2, D, 
3, D, 

Game Development con Unity 5, 803, 3
1, D, 
2, D, 
3, D, 

Teoría de la Computación, 804, 4
1, D, 
2, D, 
3, D, 
4, D, 

Lógica Matemática y Computacional 3, 805, 3
1, D, 
2, D, 
3, D, 

Lógica Matemática y Computacional, 806, 2
1, D, 
2, D, 

Algoritmos y Complejidad, 807, 1
1, D, 

Inteligencia Artificial Moderna, 808, 4
1, D, 
2, D, 
3, D, 
4, D, 

Bases de Datos Distribuidas 5, 809, 2
1, D, 
2, D, 

Bases de Datos Distribuidas, 810, 2
1, D, 
2, D, 

Investigación de Operaciones, 811, 2
1, D, 
2, D, 

Probabilidad y Estadística para Ingeniería, 812, 3
1, D, 
2, D, 
3, D, 

Geometría Analítica del Espacio, 813, 1
1, D, 

Geometría Analítica del Espacio 3, 814, 2
1, D, 
2, D, 

Cloud Computing con AWS, 815, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Avanzada en C++, 816, 2
1, D, 
2, D, 

Contenedores con Docker 3, 817, 1
1, D, 

Probabilidad y Estadística para Ingeniería 1, 818, 4
1, D, 
2, D, 
3, D, 
4, D, 

Big Data y Analytics, 819, 3
1, D, 
2, D, 
3, D, 

Estructuras de Datos Avanzadas, 820, 3
1, D, 
2, D, 
3, D, 

Álgebra Lineal Aplicada, 821, 2
1, D, 
2, D, 

Computación Cuántica, 822, 3
1, D, 
2, D, 
3, D, 

Inteligencia Artificial Moderna, 823, 3
1, D, 
2, D, 
3, D, 

Game Development con Unity, 824, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Seguridad Informática Empresarial, 825, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV 5, 826, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores, 827, 2
1, D, 
2, D, 

Teoría de Grafos Aplicada 2, 828, 4
1, D, 
2, D, 
3, D, 
4, D, 

Cloud Computing con AWS, 829, 1
1, D, 

Ecuaciones Diferenciales Ordinarias, 830, 4
1, D, 
2, D, 
3, D, 
4, D, 

Robótica Industrial, 831, 3
1, D, 
2, D, 
3, D, 

Orquestación con Kubernetes, 832, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ética en Tecnología e IA, 833, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos, 834, 2
1, D, 
2, D, 

Computación Cuántica 4, 835, 1
1, D, 

Marketing Digital Estratégico, 836, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Deep Learning con TensorFlow 1, 837, 1
1, D, 

Big Data y Analytics 3, 838, 2
1, D, 
2, D, 

Seguridad Informática Empresarial, 839, 1
1, D, 

Big Data y Analytics 3, 840, 3
1, D, 
2, D, 
3, D, 

Estructuras de Datos Avanzadas, 841, 1
1, D, 

Diseño de Compiladores 2, 842, 1
1, D, 

Métodos de Optimización 5, 843, 3
1, D, 
2, D, 
3, D, 

Testing y Quality Assurance, 844, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Testing y Quality Assurance, 845, 4
1, D, 
2, D, 
3, D, 
4, D, 

Contenedores con Docker, 846, 1
1, D, 

Ética en Tecnología e IA, 847, 2
1, D, 
2, D, 

Historia de la Computación, 848, 3
1, D, 
2, D, 
3, D, 

Probabilidad y Estadística para Ingeniería, 849, 4
1, D, 
2, D, 
3, D, 
4, D, 

Robótica Industrial, 850, 1
1, D, 

Computación Cuántica 2, 851, 1
1, D, 

Arquitectura de Computadores y Ensamblador, 852, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético 3, 853, 1
1, D, 

Desarrollo Web Full Stack 2, 854, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos, 855, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores, 856, 3
1, D, 
2, D, 
3, D, 

Realidad Virtual y Aumentada, 857, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Historia de la Computación, 858, 2
1, D, 
2, D, 

E-commerce y Negocios Digitales, 859, 3
1, D, 
2, D, 
3, D, 

Química Orgánica Básica, 860, 2
1, D, 
2, D, 

Diseño de Compiladores, 861, 1
1, D, 

Lógica Matemática y Computacional, 862, 4
1, D, 
2, D, 
3, D, 
4, D, 

Teoría de Grafos Aplicada 4, 863, 1
1, D, 

Gestión Ágil de Proyectos, 864, 3
1, D, 
2, D, 
3, D, 

Procesamiento de Lenguaje Natural, 865, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ética en Tecnología e IA, 866, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Métodos de Optimización, 867, 1
1, D, 

Visión por Computador con OpenCV, 868, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Física para Ingenieros I, 869, 1
1, D, 

Redes de Computadores 5, 870, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Química Orgánica Básica 3, 871, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

DevOps y Metodologías Ágiles 2, 872, 2
1, D, 
2, D, 

Historia de la Computación 2, 873, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación, 874, 3
1, D, 
2, D, 
3, D, 

Arquitectura de Microservicios 2, 875, 2
1, D, 
2, D, 

Big Data y Analytics, 876, 3
1, D, 
2, D, 
3, D, 

Inteligencia Artificial Moderna 5, 877, 4
1, D, 
2, D, 
3, D, 
4, D, 

Análisis Numérico Computacional 1, 878, 1
1, D, 

Ecuaciones Diferenciales Ordinarias, 879, 4
1, D, 
2, D, 
3, D, 
4, D, 

Diseño de Experiencia de Usuario, 880, 3
1, D, 
2, D, 
3, D, 

Algoritmos y Complejidad, 881, 4
1, D, 
2, D, 
3, D, 
4, D, 

Química Orgánica Básica 3, 882, 1
1, D, 

Marketing Digital Estratégico 5, 883, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Robótica Industrial, 884, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Realidad Virtual y Aumentada, 885, 4
1, D, 
2, D, 
3, D, 
4, D, 

Big Data y Analytics, 886, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos 1, 887, 1
1, D, 

Procesamiento de Lenguaje Natural, 888, 2
1, D, 
2, D, 

Criptografía y Seguridad, 889, 3
1, D, 
2, D, 
3, D, 

Investigación de Operaciones, 890, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético 5, 891, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV 4, 892, 4
1, D, 
2, D, 
3, D, 
4, D, 

Programación Orientada a Objetos en Java, 893, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Visión por Computador con OpenCV, 894, 1
1, D, 

Ecuaciones Diferenciales Ordinarias, 895, 2
1, D, 
2, D, 

Cloud Computing con AWS, 896, 1
1, D, 

Estructuras de Datos Avanzadas, 897, 1
1, D, 

Visión por Computador con OpenCV, 898, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Python para Data Science, 899, 4
1, D, 
2, D, 
3, D, 
4, D, 

Geometría Analítica del Espacio, 900, 2
1, D, 
2, D, 

Investigación de Operaciones, 901, 3
1, D, 
2, D, 
3, D, 

Cálculo Diferencial e Integral 5, 902, 3
1, D, 
2, D, 
3, D, 

Historia de la Computación 2, 903, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos 1, 904, 2
1, D, 
2, D, 

Visión por Computador con OpenCV, 905, 1
1, D, 

Robótica Industrial, 906, 1
1, D, 

Programación Orientada a Objetos en Java, 907, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Historia de la Computación, 908, 3
1, D, 
2, D, 
3, D, 

Análisis Numérico Computacional, 909, 2
1, D, 
2, D, 

Redes de Computadores 1, 910, 1
1, D, 

Deep Learning con TensorFlow, 911, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Diseño de Compiladores, 912, 2
1, D, 
2, D, 

Métodos de Optimización, 913, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Robótica Industrial, 914, 1
1, D, 

Probabilidad y Estadística para Ingeniería, 915, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cálculo Diferencial e Integral, 916, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack, 917, 2
1, D, 
2, D, 

Cloud Computing con AWS, 918, 3
1, D, 
2, D, 
3, D, 

Redes de Computadores, 919, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de la Computación 3, 920, 2
1, D, 
2, D, 

Métodos de Optimización, 921, 1
1, D, 

Machine Learning Práctico, 922, 2
1, D, 
2, D, 

Marketing Digital Estratégico, 923, 3
1, D, 
2, D, 
3, D, 

Programación Orientada a Objetos en Java, 924, 4
1, D, 
2, D, 
3, D, 
4, D, 

Game Development con Unity, 925, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Programación Avanzada en C++ 5, 926, 3
1, D, 
2, D, 
3, D, 

Gestión Ágil de Proyectos 2, 927, 1
1, D, 

Cloud Computing con AWS, 928, 3
1, D, 
2, D, 
3, D, 

Arquitectura de Computadores y Ensamblador, 929, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Blockchain y Criptomonedas, 930, 2
1, D, 
2, D, 

Deep Learning con TensorFlow, 931, 2
1, D, 
2, D, 

Machine Learning Práctico 4, 932, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Diseño de Experiencia de Usuario 4, 933, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cálculo Diferencial e Integral, 934, 1
1, D, 

Gestión Ágil de Proyectos 5, 935, 2
1, D, 
2, D, 

Química Orgánica Básica, 936, 1
1, D, 

Marketing Digital Estratégico, 937, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Programación Orientada a Objetos en Java 1, 938, 2
1, D, 
2, D, 

Algoritmos y Complejidad 2, 939, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos, 940, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Visión por Computador con OpenCV, 941, 2
1, D, 
2, D, 

Investigación de Operaciones, 942, 1
1, D, 

Historia de la Computación, 943, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros II, 944, 3
1, D, 
2, D, 
3, D, 

Ecuaciones Diferenciales Ordinarias, 945, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

DevOps y Metodologías Ágiles 3, 946, 4
1, D, 
2, D, 
3, D, 
4, D, 

Redes de Computadores, 947, 4
1, D, 
2, D, 
3, D, 
4, D, 

Arquitectura de Microservicios 5, 948, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos, 949, 3
1, D, 
2, D, 
3, D, 

Diseño de Experiencia de Usuario, 950, 3
1, D, 
2, D, 
3, D, 

Diseño de Experiencia de Usuario, 951, 3
1, D, 
2, D, 
3, D, 

Geometría Analítica del Espacio, 952, 1
1, D, 

Ingeniería de Software Práctica, 953, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros I 1, 954, 3
1, D, 
2, D, 
3, D, 

Programación Orientada a Objetos en Java, 955, 1
1, D, 

Probabilidad y Estadística para Ingeniería, 956, 3
1, D, 
2, D, 
3, D, 

Criptografía y Seguridad, 957, 2
1, D, 
2, D, 

Estructuras de Datos Avanzadas, 958, 1
1, D, 

Química Orgánica Básica 2, 959, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Internet de las Cosas con Arduino, 960, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Deep Learning con TensorFlow, 961, 2
1, D, 
2, D, 

Redes de Computadores 2, 962, 1
1, D, 

DevOps y Metodologías Ágiles, 963, 4
1, D, 
2, D, 
3, D, 
4, D, 

Criptografía y Seguridad, 964, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Machine Learning Práctico 3, 965, 3
1, D, 
2, D, 
3, D, 

Orquestación con Kubernetes 3, 966, 4
1, D, 
2, D, 
3, D, 
4, D, 

Algoritmos y Complejidad, 967, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ingeniería de Software Práctica, 968, 3
1, D, 
2, D, 
3, D, 

Estructuras de Datos Avanzadas 4, 969, 2
1, D, 
2, D, 

Internet de las Cosas con Arduino, 970, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de Grafos Aplicada, 971, 2
1, D, 
2, D, 

Gestión Ágil de Proyectos, 972, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack 1, 973, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros I, 974, 4
1, D, 
2, D, 
3, D, 
4, D, 

Marketing Digital Estratégico 2, 975, 3
1, D, 
2, D, 
3, D, 

Cálculo Diferencial e Integral, 976, 1
1, D, 

Emprendimiento Tecnológico y Startups 3, 977, 4
1, D, 
2, D, 
3, D, 
4, D, 

Emprendimiento Tecnológico y Startups 1, 978, 3
1, D, 
2, D, 
3, D, 

Álgebra Lineal Aplicada, 979, 3
1, D, 
2, D, 
3, D, 

Probabilidad y Estadística para Ingeniería, 980, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros I 2, 981, 4
1, D, 
2, D, 
3, D, 
4, D, 

Big Data y Analytics, 982, 2
1, D, 
2, D, 

Realidad Virtual y Aumentada 2, 983, 1
1, D, 

Diseño de Compiladores, 984, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Algoritmos y Complejidad 5, 985, 3
1, D, 
2, D, 
3, D, 

DevOps y Metodologías Ágiles, 986, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Procesamiento de Lenguaje Natural, 987, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Métodos de Optimización, 988, 1
1, D, 

Desarrollo Web Full Stack, 989, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Machine Learning Práctico, 990, 2
1, D, 
2, D, 

Física para Ingenieros I, 991, 3
1, D, 
2, D, 
3, D, 

Gestión Ágil de Proyectos, 992, 4
1, D, 
2, D, 
3, D, 
4, D, 

Ingeniería de Software Práctica, 993, 1
1, D, 

Internet de las Cosas con Arduino 4, 994, 4
1, D, 
2, D, 
3, D, 
4, D, 

Diseño de Experiencia de Usuario, 995, 2
1, D, 
2, D, 

Física para Ingenieros I, 996, 1
1, D, 

Deep Learning con TensorFlow, 997, 2
1, D, 
2, D, 

Programación Avanzada en C++, 998, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos, 999, 1
1, D, 

Deep Learning con TensorFlow, 1000, 2
1, D, 
2, D, 

Big Data y Analytics, 1001, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Lógica Matemática y Computacional, 1002, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Algoritmos y Complejidad, 1003, 4
1, D, 
2, D, 
3, D, 
4, D, 

Visión por Computador con OpenCV 1, 1004, 3
1, D, 
2, D, 
3, D, 

Procesamiento de Lenguaje Natural, 1005, 2
1, D, 
2, D, 

Física para Ingenieros II, 1006, 2
1, D, 
2, D, 

Cálculo Diferencial e Integral 1, 1007, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros I, 1008, 2
1, D, 
2, D, 

Big Data y Analytics, 1009, 4
1, D, 
2, D, 
3, D, 
4, D, 

Teoría de Grafos Aplicada, 1010, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS 5, 1011, 4
1, D, 
2, D, 
3, D, 
4, D, 

Machine Learning Práctico, 1012, 3
1, D, 
2, D, 
3, D, 

Procesamiento de Lenguaje Natural, 1013, 3
1, D, 
2, D, 
3, D, 

Robótica Industrial, 1014, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Física para Ingenieros I, 1015, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 1016, 1
1, D, 

Game Development con Unity, 1017, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Emprendimiento Tecnológico y Startups 4, 1018, 1
1, D, 

Game Development con Unity, 1019, 4
1, D, 
2, D, 
3, D, 
4, D, 

Python para Data Science, 1020, 3
1, D, 
2, D, 
3, D, 

Orquestación con Kubernetes, 1021, 1
1, D, 

DevOps y Metodologías Ágiles, 1022, 1
1, D, 

Procesamiento de Lenguaje Natural 1, 1023, 1
1, D, 

Marketing Digital Estratégico, 1024, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Ingeniería de Software Práctica, 1025, 3
1, D, 
2, D, 
3, D, 

Física para Ingenieros I, 1026, 1
1, D, 

Marketing Digital Estratégico 5, 1027, 3
1, D, 
2, D, 
3, D, 

Arquitectura de Computadores y Ensamblador, 1028, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS, 1029, 2
1, D, 
2, D, 

Game Development con Unity, 1030, 1
1, D, 

Arquitectura de Computadores y Ensamblador, 1031, 1
1, D, 

Procesamiento de Lenguaje Natural, 1032, 3
1, D, 
2, D, 
3, D, 

Python para Data Science, 1033, 1
1, D, 

Python para Data Science 3, 1034, 4
1, D, 
2, D, 
3, D, 
4, D, 

Testing y Quality Assurance, 1035, 4
1, D, 
2, D, 
3, D, 
4, D, 

E-commerce y Negocios Digitales, 1036, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Cloud Computing con AWS 1, 1037, 3
1, D, 
2, D, 
3, D, 

Cloud Computing con AWS 5, 1038, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Investigación de Operaciones, 1039, 4
1, D, 
2, D, 
3, D, 
4, D, 

Python para Data Science, 1040, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Sistemas Operativos Modernos, 1041, 4
1, D, 
2, D, 
3, D, 
4, D, 

Investigación de Operaciones, 1042, 2
1, D, 
2, D, 

Machine Learning Práctico, 1043, 3
1, D, 
2, D, 
3, D, 

Orquestación con Kubernetes 5, 1044, 4
1, D, 
2, D, 
3, D, 
4, D, 

Procesamiento de Lenguaje Natural, 1045, 4
1, D, 
2, D, 
3, D, 
4, D, 

Deep Learning con TensorFlow, 1046, 1
1, D, 

Cloud Computing con AWS, 1047, 1
1, D, 

Seguridad Informática Empresarial, 1048, 4
1, D, 
2, D, 
3, D, 
4, D, 

Diseño de Experiencia de Usuario, 1049, 1
1, D, 

Diseño de Experiencia de Usuario, 1050, 3
1, D, 
2, D, 
3, D, 

Robótica Industrial, 1051, 2
1, D, 
2, D, 

Ética en Tecnología e IA 5, 1052, 3
1, D, 
2, D, 
3, D, 

Métodos de Optimización, 1053, 2
1, D, 
2, D, 

Desarrollo Web Full Stack, 1054, 2
1, D, 
2, D, 

Ciberseguridad Avanzada y Hacking Ético, 1055, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Emprendimiento Tecnológico y Startups 2, 1056, 3
1, D, 
2, D, 
3, D, 

Probabilidad y Estadística para Ingeniería, 1057, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Investigación de Operaciones 2, 1058, 2
1, D, 
2, D, 

Ciberseguridad Avanzada y Hacking Ético, 1059, 4
1, D, 
2, D, 
3, D, 
4, D, 

Sistemas Operativos Modernos 5, 1060, 4
1, D, 
2, D, 
3, D, 
4, D, 

Física para Ingenieros I, 1061, 1
1, D, 

Estructuras de Datos Avanzadas, 1062, 2
1, D, 
2, D, 

Arquitectura de Computadores y Ensamblador 5, 1063, 2
1, D, 
2, D, 

Robótica Industrial, 1064, 2
1, D, 
2, D, 

Investigación de Operaciones, 1065, 2
1, D, 
2, D, 

Geometría Analítica del Espacio, 1066, 3
1, D, 
2, D, 
3, D, 

Lógica Matemática y Computacional, 1067, 3
1, D, 
2, D, 
3, D, 

Ciberseguridad Avanzada y Hacking Ético, 1068, 1
1, D, 

DevOps y Metodologías Ágiles, 1069, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Probabilidad y Estadística para Ingeniería, 1070, 1
1, D, 

Emprendimiento Tecnológico y Startups 3, 1071, 3
1, D, 
2, D, 
3, D, 

Diseño de Experiencia de Usuario, 1072, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Redes de Computadores, 1073, 2
1, D, 
2, D, 

Redes de Computadores, 1074, 1
1, D, 

Contenedores con Docker, 1075, 3
1, D, 
2, D, 
3, D, 

Big Data y Analytics 3, 1076, 1
1, D, 

Big Data y Analytics 3, 1077, 2
1, D, 
2, D, 

Testing y Quality Assurance 2, 1078, 2
1, D, 
2, D, 

Visión por Computador con OpenCV, 1079, 2
1, D, 
2, D, 

Blockchain y Criptomonedas 1, 1080, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Algoritmos y Complejidad, 1081, 4
1, D, 
2, D, 
3, D, 
4, D, 

Arquitectura de Computadores y Ensamblador, 1082, 2
1, D, 
2, D, 

Orquestación con Kubernetes, 1083, 1
1, D, 

Ingeniería de Software Práctica, 1084, 4
1, D, 
2, D, 
3, D, 
4, D, 

Geometría Analítica del Espacio, 1085, 3
1, D, 
2, D, 
3, D, 

Orquestación con Kubernetes, 1086, 1
1, D, 

Métodos de Optimización, 1087, 3
1, D, 
2, D, 
3, D, 

Inteligencia Artificial Moderna, 1088, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Gestión Ágil de Proyectos 1, 1089, 3
1, D, 
2, D, 
3, D, 

Robótica Industrial, 1090, 2
1, D, 
2, D, 

Programación Avanzada en C++, 1091, 2
1, D, 
2, D, 

Redes de Computadores, 1092, 3
1, D, 
2, D, 
3, D, 

Emprendimiento Tecnológico y Startups 1, 1093, 1
1, D, 

Programación Avanzada en C++, 1094, 2
1, D, 
2, D, 

Probabilidad y Estadística para Ingeniería 5, 1095, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Desarrollo Web Full Stack 3, 1096, 1
1, D, 

Algoritmos y Complejidad, 1097, 4
1, D, 
2, D, 
3, D, 
4, D, 

Álgebra Lineal Aplicada, 1098, 5
1, D, 
2, D, 
3, D, 
4, D, 
5, D, 

Teoría de Grafos Aplicada, 1099, 1
1, D, 

